name               , position, war , ab  , h   , hr , ba   , r   , rbi , sb , obp  , ops  , hof, played-in-mlb
Biz Mackey         , C       , 25.3, 3081, 1011,  52, 0.328,  497,  604,  60, 0.39 , 0.86 , Yes, No
Buck Leonard       , FB      , 30.0, 2163,  748,  97, 0.346,  549,  548,  32, 0.453, 1.046, Yes, No
Buck O'Neil        , FB      ,  2.2, 1358,  348,  12, 0.256,  218,  185,  51, 0.316, 0.673, Yes, No
Bullet Rogan       , Multiple, 61.3, 2027,  683,  49, 0.337,  408,  414, 106, 0.414, 0.934, Yes, No
Candy Jim Taylor   , TB      ,  5.3,  959,  285,  26, 0.297,  140,  178,  37, 0.365, 0.805, No , No
Cool Papa Bell     , CF      , 34.7, 4767, 1548,  57, 0.325, 1152,  596, 285, 0.394, 0.84 , Yes, No
Cristobal Torriente, O       , 25.8, 2235,  759,  55, 0.34 ,  471,  532,  93, 0.427, 0.951, Yes, No
Hank Thompson      , Multiple, 30.7, 3572,  983, 144, 0.275,  625,  568,  57, 0.376, 0.837, No , Yes
John Donaldson     , P       ,  3.4,  817,  242,   6, 0.296,  128,  118,  29, 0.341, 0.382, No , No
Jose Mendez        , Multiple,  7.1,  589,  137,   3, 0.233,   83,   57,  33, 0.328, 0.645, Yes, No
Josh Gibson        , C       , 38.1, 2168,  808, 166, 0.373,  612,  733,  40, 0.458, 1.176, Yes, No
Leon Day           , Multiple, 18.3,  661,  207,   6, 0.313,  107,   94,   7, 0.363, 0.793, Yes, Yes
Martin Dihigo      , P       , 22.5, 1418,  436,  68, 0.307,  290,  309,  47, 0.389, 0.918, Yes, No
Monte Irvin        , LF      , 32.1, 3523, 1076, 139, 0.305,  580,  684,  52, 0.391, 0.883, Yes, Yes
Mule Suttles       , Multiple, 36.6, 3220, 1093, 180, 0.339,  720,  883,  85, 0.41 , 1.03 , Yes, No
Oscar Charleston   , CF      , 48.1, 3317, 1210, 143, 0.365,  854,  853, 210, 0.449, 1.064, Yes, No
Pete Hill          , CF      ,  4.2,  508,  154,   7, 0.303,   81,   84,  11, 0.41 , 0.829, Yes, No
Ray Dandridge      , TB      ,  5.2,  927,  296,   4, 0.319,  144,  146,  20, 0.36 , 0.793, Yes, No
Ted Radcliffe      , C/P     , 10.8, 1243,  337,  17, 0.271,  160,  187,  16, 0.307, 0.681, No , No
Turkey Stearnes    , CF      , 49.5, 3807, 1326, 187, 0.348,  917, 1009, 130, 0.417, 1.032, Yes, No

