Year ,White_pct ,Black_pct ,Latino_pct ,Asian_pct
1947,98.3,0.9,0.7,0
1948,98.5,0.7,0.7,0
1949,96.6,1.5,1.9,0
1950,95.3,1.7,3,0
1951,94.3,2.9,2.8,0
1952,94.4,2.9,2.7,0
1953,93.3,3.7,3,0
1954,90.7,5.6,3.7,0
1955,89.8,5.2,5,0
1956,88.2,6.7,5.1,0
1957,88.1,6.7,5.2,0
1958,86.7,7.4,5.9,0
1959,84.8,8.8,6.5,0
1960,82.3,8.9,8.9,0
1961,82.6,9.7,7.7,0
1962,81.9,10.1,8,0
1963,80.1,11.7,8.2,0
1964,79.3,11.7,8.9,0.1
1965,78.3,12.7,8.8,0.1
1966,76.9,13.4,9.7,0
1967,75.6,13.6,10.7,0
1968,73.8,15.4,10.8,0
1969,74.4,14.5,11.1,0
1970,73.7,14.6,11.7,0
1971,73.9,15.5,10.6,0
1972,72.9,16.1,10.9,0
1973,71.6,17.4,11,0
1974,71.1,17.4,11.5,0
1975,71.3,18.5,10.2,0
1976,70.5,18,11.5,0
1977,70.7,17.9,11.4,0
1978,71.3,17.4,11.3,0
1979,71.4,17.9,10.7,0
1980,71.1,17.4,11.6,0
1981,70.1,18.7,11.1,0
1982,70.4,17.9,11.7,0
1983,70.3,18,11.6,0
1984,69.6,18.4,12,0
1985,70.3,18.3,11.3,0
1986,70,18.3,11.8,0
1987,69.9,17.7,12.3,0
1988,68.2,17.3,14.5,0
1989,70.3,16.5,13.2,0
1990,68.6,16.6,14.8,0
1991,66.8,17,16.1,0.1
1992,67.7,16.7,15.6,0
1993,66.3,16.8,16.9,0
1994,65,17.2,17.8,0.1
1995,64.5,16.1,19.2,0.2
1996,63.2,16,20.4,0.4
1997,60.9,15,23.5,0.5
1998,62,14.3,22.8,0.8
1999,61.7,13.6,23.5,1.2
2000,61.2,12.8,24.7,1.3
2001,60.7,12.1,26,1.2
2002,60.8,10.8,26.5,1.9
2003,61,10.4,26.8,1.8
2004,60.3,10.1,27.7,1.8
2005,60.9,9.1,27.8,2.3
2006,61.3,9,27.9,1.9
2007,63.1,8.5,26.1,2.2
2008,62.1,8.2,27.3,2.3
2009,62.2,7.1,28.5,2.1
2010,63,7.8,27.2,1.9
2011,63.5,7.9,26.9,1.7
2012,63.9,7.2,26.9,1.9
2013,63.6,6.7,27.7,2
2014,63.7,6.7,27.7,1.8
2015,63.4,7.2,27.7,1.7
2016,63.7,6.7,27.4,2.1
2017,57.5,7.7,31.9,1.9
2018,59,8.4,29.5,1.5
2020,60.2,7.5,29.9,1.4
2021,62.3,7.6,28.1,1.4
2022,62.1,7.2,28.5,1.9
2023,58.7,6.3,30.2,3.2
